comment_id,clean_text,normalized_text,suggested_label,sentiment_label,manual_label
UgzDQcuztAMfpOyVfOB4AaABAg,kutukan zidane,kutu zidane,,unknown,
UgxnlFqZG7XjlU4fKFB4AaABAg,kualat gara materazi nanduk zidane ini mah,kualat gara materazi nanduk zidane mah,,unknown,
UgzuwVke8w7ceecBRr14AaABAg,playyoff pasti dia lolos,playyoff lolos,future_hope,unknown,
UgxpIVaCV60CSCx_0c14AaABAg,kualitas menurun,kualitas turun,,unknown,
Ugz3NMG7HnRXxcsvXix4AaABAg,setelah francesco totti pensiun italia meredup,francesco totti pensiun italia redup,,unknown,
Ugzo24sKNcD6E3yJBFh4AaABAg,lini depan norway memang lagi gila nya sekarang,lini norway gila nya,,unknown,
Ugy-kaqIYn5gAxNd7j54AaABAg,zinedine zidane,zinedine zidane,,unknown,
Ugw95JDyvxddo4g9-Ah4AaABAg,karma karena kelakuan matertrasi kepada z zidane,karma laku matertrasi z zidane,,unknown,
UgyNLqmflmPg1ZdXeR94AaABAg,saya hampir tau semua peemain italia tapi akuad sekarang saya tak ada yang tau sama sekali,tau peemain italia akuad tau,,unknown,
UgyKtDUBuk3vfIAPxM54AaABAg,dikutuk h zidane,kutuk h zidane,,unknown,
UgyOq3oc2QQYterjCm94AaABAg,kutukan zidane masih belum tercabut,kutu zidane cabut,,unknown,
UgxXEp2nXddeoqnjGDF4AaABAg,zidane,zidane,,unknown,
UgwcrM-vSOCYXsOxw4V4AaABAg,era emas sepakbola eropa sudah lewat bersyukur sy dulu bisa menikmatinya mesi ronaldo sudah mau pensiun g smangat lg nonton bola,era emas sepakbola eropa syukur sy nikmat mes ronaldo pensiun g smangat lg nonton bola,,unknown,
UgzLgDSyWjl0p4roz994AaABAg,semua ada masanya,masa,,unknown,
UgzOmBau32-bOHx5UpB4AaABAg,klo menng play of biasanya itali akan mengganas pas di turnamen sesungguhnya,klo menng play of itali ganas pas turnamen sungguh,,unknown,
Ugx2goqak1-vMjFUoUB4AaABAg,ketemu sama turki,ketemu turki,,unknown,
UgxSoyqSyUZXbjMRgKZ4AaABAg,katanya pngn bantai,pngn bantai,,unknown,
UgwrRxMejBJo1V6l7jp4AaABAg,situasi ini tidak lepas dr kengerian haaland cs,situasi lepas dr ngeri haaland cs,,unknown,
Ugx00G5lA0Spneh44eV4AaABAg,italia yng gw kenal sekarang cm barela sm donaruma,italia yng gw kenal cm barela sm donaruma,,unknown,
UgyoCIeWfTMm1T9xSIR4AaABAg,kutukan itu berawal dari mulut materazzi karma tetap berjalan,kutu mulut materazzi karma jalan,,unknown,
UgwEkPDhR9CpHFadMc54AaABAg,kutukan yang di sebabkan materazzi,kutu sebab materazzi,,unknown,
UgzI_glgUFGCDWkLlhJ4AaABAg,terkena karma sama zidane karena meterazi menghina perancis ibu zidane,kena karma zidane meterazi hina perancis zidane,,unknown,
Ugw_O3vYufkRtfW0TBJ4AaABAg,ksih ke gatuso uda tepat thun kedepan membaik,ksih gatuso uda thun depan baik,,unknown,
Ugyndg6zuD6B2rZU4hh4AaABAg,ini adminnya juga fens italia,adminnya fens italia,,unknown,
Ugx1Oht1hNz1Cjc2jz54AaABAg,no balloteli no party,no balloteli no party,,unknown,
Ugwgdy3m0UQ7danrCF94AaABAg,efek dzolim ke zidane kah materazzi hrusny mnta maaf ga sih ke zidane klo italia mau maju lagi di pildun,efek dzolim zidane materazzi hrusny mnta maaf ga sih zidane klo italia maju pildun,,unknown,
Ugz2yun1MlOQUFACtdd4AaABAg,bukannya swedia sudah gugur posisi ke klasemen,swedia gugur posisi klasemen,,unknown,
UgzO3-C4v-7kXKvXuLV4AaABAg,gas yow gli azzuri,gas yow gli azzuri,,unknown,
UgxMjapZ8Zljl6ZtGHR4AaABAg,sepa bola italia akan teruruk terus,sepa bola italia uruk,,unknown,
UgzkcfUbKQQUVWju-2d4AaABAg,bukan kutukan emang bapuk aja,kutu emang bapuk aja,,unknown,
UgySYzyoQcqk0tIXZM94AaABAg,saya bukn pndukung italia tapi kalo italia ga msuk pildun kurng seru,bukn pndukung italia kalo italia ga msuk pildun kurng seru,,unknown,
UgwCQagLK3i-JC3g8hd4AaABAg,forza gli azzurri,forza gli azzurri,,unknown,
UgwzeJZNcrtPXF1ZfUF4AaABAg,forza gli azzurri,forza gli azzurri,,unknown,
UgxQVkGeXfKK7z2xOhh4AaABAg,akibat kutukakan untk israel akhirnya kenak dia,akibat tukak untk israel nak,,unknown,
UgxlHUeNMy5dqOlaJ294AaABAg,efek terlalu banyak aki di liga,efek aki liga,,unknown,
UgxeehJ4ObTX1GQmsjd4AaABAg,masih ada tiket kan masih ikut flayoff dong,tiket flayoff,,unknown,
UgyrzToqTaQQtv3tHpV4AaABAg,dulu dulu sekarang sekarang terkutuk nggak mau mengakui palestinaa,kutuk aku palestinaa,,unknown,
UgyehjetoUhW1Gm-DXh4AaABAg,tanya sebabny ke materazzi,sebabny materazzi,,unknown,
UgxvQBCNrAftkzNGpRx4AaABAg,swedia itu juru kunci min duh min min,swedia juru kunci min duh min min,,unknown,
UgyZ6u2w2V-MY0M8KTV4AaABAg,kualat nggak mainin gabbia sih padahal bisa ngantongin halland tuh,kualat mainin gabbia sih ngantongin halland tuh,,unknown,
UgypTV8UpcRRzUAgYW14AaABAg,itali sekarang pemainya lawak semua ga ada yang gacor,itali mai lawak ga gacor,,unknown,
UgxOFsOSgeL3Kj_yf1J4AaABAg,italia sekarang udah selevel sama moldova siprus,italia udah level moldova siprus,,unknown,
UgxeY5S_io98RyXF_B54AaABAg,tayangan tempo hari starting eleven memuji gattuso sekarang,tayang tempo starting eleven puji gattuso,,unknown,
UgxI-ISRDWgoI8vEAnF4AaABAg,pasti lolos,lolos,future_hope,unknown,
UgzdDZSZRRIacXNXwbh4AaABAg,ini akibatnya remehin mario balotelli,akibat remehin mario balotelli,,unknown,
UgyC0G5BXuHM1NKG1tZ4AaABAg,biasanya sesuatu yang dikutuk karena ada penyebabnya la italia dikutuk karena apa min,kutuk sebab la italia kutuk min,,unknown,
UgxOow-KreFSvvHCb4Z4AaABAg,italy sudah layak adoi la konoha,italy layak adoi la konoha,,unknown,
UgzgPj8gHlcvfQAEBqZ4AaABAg,sty tetap oke,sty oke,coaching_staff,unknown,
UgykvVAs6U70-HsN-N94AaABAg,oi inews coba dong undang arya sinulingga kami pingin denger komentar dia,oi inews coba undang arya sinulingga pingin denger komentar,,unknown,
UgyjwqiYeChymqx-D1R4AaABAg,kasih kesempatan sekali lagi tp kepada alex pastor,kasih sempat tp alex pastor,,unknown,
Ugz62lT82-fjYkvkLF14AaABAg,saatnya gen z nih buat perubahan,gen z nih ubah,,unknown,
UgxwOh9Ae8kru4KXP4d4AaABAg,alhamdulillah,alhamdulillah,,unknown,
UgxCsTYNCtPIO5cX2vZ4AaABAg,kembalikan sty,kembali sty,coaching_staff,unknown,
UgzfekdiWkrCM60Gg_F4AaABAg,petrik out,trik out,,unknown,
UgxKZNWN0da_ylc7XtB4AaABAg,blunder buat pssi,blunder pssi,pssi_management,unknown,
UgwZadJzC3_d_rKqkl54AaABAg,patrick out,patrick out,coaching_staff,unknown,
UgzdGKvNTe6y7bGfHt54AaABAg,ternyata terbukti kata exco match poin,bukti exco match poin,,unknown,
UgwIhuX0PsEL8y-t2jF4AaABAg,petrik ayoo ngelatih kampung q sini lo,trik ayoo ngelatih kampung q lo,,unknown,
UgyzAzIN-6ZHa_pi2wh4AaABAg,harus out sipetrik ini,out sipetrik,,unknown,
Ugxoj7Uu3D6AcxIEyxl4AaABAg,usir usir tidak ada prestasi,usir usir prestasi,,unknown,
UgyKkJHGqK_sz64cozx4AaABAg,patrik kluvert harus out,patrik kluvert out,,unknown,
UgyDKChTXioLIb7ijKl4AaABAg,pecat pelatihnya,pecat latih,coaching_staff,unknown,
UgzoUG9tK7cha7PkHpB4AaABAg,kembalikan ke sty,kembali sty,coaching_staff,unknown,
UgxB2V4mfHsZdQbhYWR4AaABAg,harus ada pergantian pelatih,ganti latih,coaching_staff,unknown,
UgzR60_9e9QWxn4Qndd4AaABAg,kembalikan sty,kembali sty,coaching_staff,unknown,
UgyMNFQjCa9cihOhTA14AaABAg,kami butuh kabar pengunduran diri petrik secepatnya,butuh kabar undur trik cepat,,unknown,
UgzdMj2xsorC4ILxMQJ4AaABAg,betul betul apa yang di katakan abang binder,abang binder,,unknown,
Ugzr-UIFirLIzoAox0p4AaABAg,sty lebih baik dari petrik,sty trik,coaching_staff,unknown,
Ugx5s7DoMIwbMaaGefR4AaABAg,selalu nonton ini adem objktf,nonton adem objktf,,unknown,
UgzEWbG-ngU_epnIiJx4AaABAg,nah di podcast itu entah menit berapa pokoknya menit lah jay keliatan kesel kalo diliat dari pas dia mulai ngejawab pertanyaan aku pikir itu jauh lebih penting daripada melakukan interview semacam ini,podcast menit pokok menit jay liat kesel kalo liat pas ngejawab pikir interview,,unknown,
UgxS4cSgVOnZ2i_FpBl4AaABAg,selalu nunggu pendapat bung binder,nunggu dapat binder,,unknown,
Ugw6imaDlUjgtbV_Y7V4AaABAg,bukan sedih lagi trauma,sedih trauma,negative_criticism,unknown,
Ugwlbj3i2aDehe3v8BF4AaABAg,alhamdulillah do a ku di kabulkan oleh tuhan,alhamdulillah do a ku kabul tuhan,,unknown,
UgwD6bcNHxTdYL21KU94AaABAg,ketika mimpimu yang begitu indah tak pernah terwujud ya sudahlah,mimpi indah wujud,,unknown,
Ugw84MFuLHCueqTWs1t4AaABAg,konten kreatornya adalah neal peterson kontennya thom haye the haye way,konten kreator neal peterson konten thom haye the haye way,,unknown,
UgzIXZoDxNGnuruMITl4AaABAg,kita apresiasi pmain turunan n lokal tapi sangat disayangkan dengan skuat yang pilihannya melimpah spt ini tidak dmanfaatkan dengan baik,apresiasi pmain turun n lokal sayang skuat pilih limpah spt dmanfaatkan,,unknown,
Ugw-v3aG-ljamFTdUuB4AaABAg,keren om isi konten lu berasa coaching klinik online tutur kata pengucapan nya menarik sukses terus om binder,keren om isi konten lu asa coaching klinik online ucap nya tarik sukses om binder,,unknown,
UgzMNe_oXPKSx66j02h4AaABAg,hanya bung binder dan bung harva jg bung ropan selalu memberikan konten yang bijak,binder harva jg ropan konten bijak,,unknown,
UgwMLBzVksCRpW_Eold4AaABAg,sangat setuju banget bung,tuju banget,,unknown,
Ugy1XpMp-CEOZPR3p6d4AaABAg,alhamdulillah selamat lagi duit rakyat,alhamdulillah selamat duit rakyat,,unknown,
Ugxv_T7_g4dM0JNd3Zp4AaABAg,setuju bung,tuju,,unknown,
Ugw24KO3WnkGuY3mW4t4AaABAg,kok aku emosi ya melihat orang biadab ini,emosi orang biadab,,unknown,
UgzeUhVfK2P1vq07Pbh4AaABAg,sudah jelas bahwa sty berkualitas,sty kualitas,coaching_staff,unknown,
UgxuwV544_XWFyk1EZ14AaABAg,towel penyebabnya,towel sebab,pssi_management,unknown,
UgySepSJVpRD9-LfEBt4AaABAg,kalau memang benar itu semua rencana e t sungguh biadab,rencana e t sungguh biadab,,unknown,
UgxAeuBJiacuwB3HYqZ4AaABAg,erik out,erik out,pssi_management,unknown,
UgyVnjEKfFrGkNEhO1F4AaABAg,setuju mundur aja itu pak eth,tuju mundur aja eth,,unknown,
Ugy1g0xDDs3f3BQGSTN4AaABAg,et itu pebisnis jdi yang ada di otaknya uang dan uang hati aja et terciduk kasus,et bisnis jdi otak uang uang hati aja et ciduk,,unknown,
Ugwj--TzNmfwz_5EkUB4AaABAg,erick out saja,erick out,,unknown,
UgxEtOUseWVOUl7dAPB4AaABAg,raimu njalok di tungkak tin justin,rai njalok tungkak tin justin,,unknown,
Ugxc3wVTjHx_OaUhRUF4AaABAg,bibir memang tak bertulang nasi sudah menjadi bubur,bibir tulang nasi bubur,,unknown,
UgwnjW3ifyRZGE-awgF4AaABAg,eric yang gentle mundur saja segera jangan sampai dimundurkan,eric gentle mundur mundur,,unknown,
UgxZJ3U7vVhqUz9ccK94AaABAg,cuci tangan sampe bersih ya namanya mafia tetap saja mafia,cuci tangan sampe bersih nama mafia mafia,pssi_management,unknown,
UgzyEzsdgp4gke_emE54AaABAg,respect thank u capt jay for everything,respect thank u capt jay for everything,,unknown,
UgyIik08AQktuz_hjdF4AaABAg,mantap pak erick,mantap erick,,unknown,
Ugz_U9nqz4OqQoI1ylx4AaABAg,tak apa capt kalian sudah menampilkan yang terbaik,capt tampil baik,,unknown,
Ugx7us_0UL4srCu4cV14AaABAg,bersama kalian kami berani bermimpi terimakasih timnasku,berani mimpi terimakasih timnasku,,unknown,
UgzCNhSv-hfxu4Fhm_h4AaABAg,gracias la nationale,gracias la nationale,,unknown,
UgzjsYWBVAB4YZO1qHB4AaABAg,kalian sudah berjuang terimakasih pahlawan,juang terimakasih pahlawan,,unknown,
UgyYTT_iCYouijl5sVZ4AaABAg,yang kalah yang menjelaskan,kalah,technical_performance,unknown,
UgxVWuIhvrt9j_jpr6x4AaABAg,aku jelma an ikut piala dunia fifa world cup tahun depan insya allah,jelma an piala dunia fifa world cup insya allah,,unknown,
UgxoAMXFD6Oc5kS4Wsd4AaABAg,terimakasih untuk perjuangan nya,terimakasih juang nya,,unknown,
UgxFF9yfEC6Jbn_Lu354AaABAg,lu punya kekayaan alam yang melimpah tp knp rakyat lu msh byk yang hidup d bawah garis kmuskinan paham kan yang brtanggung jawab itu siapa bgtupun sepakbola pmain sudah brjuang smaksimal mgkin tp apa daya klo yang mnahkodai modelan kang judol,lu kaya alam limpah tp knp rakyat lu msh byk hidup d garis kmuskinan paham brtanggung bgtupun sepakbola pmain brjuang smaksimal mgkin tp daya klo mnahkodai model kang judol,,unknown,
Ugw5AB0N-97EUZvOgKt4AaABAg,trimakasih udah berjuang,trimakasih udah juang,,unknown,
UgzFml_Ubqk4ts2GQyN4AaABAg,tetap semangat kalian semua sudah sangat luar biasa,semangat,positive_support,unknown,
Ugyf8vX9YrpBWPFu87h4AaABAg,it s not your faul tom never give up i ts not end world,it s not your faul tom never give up i ts not end world,,unknown,
Ugx_DQU_sJl8VM4u-a14AaABAg,saya sudah gak bisa berkata kata lagi,gak,,unknown,
UgxKZCfEM1feWMUP2QR4AaABAg,inti nya et harus bertanggung jawab,inti nya et tanggung,,unknown,
Ugy1s_FDDELS6hJw8pJ4AaABAg,saya setuju banget sama perkataan bung kus,tuju banget kata kus,,unknown,
Ugyye2KaRP-g-rvw1AB4AaABAg,info rapat exco nya dong,info rapat exco nya,,unknown,
Ugw_Go2GACJYJ2K6bQF4AaABAg,oo exco yang bikin masalah,oo exco bikin,,unknown,
UgwqvfGbNYJM_e8InTR4AaABAg,patrick out,patrick out,coaching_staff,unknown,
Ugx-K4SJsfQXgsATN214AaABAg,patrick out jauh jauh,patrick out,coaching_staff,unknown,
UgxsKPRH9HKoLemb3nZ4AaABAg,kulivert out,kulivert out,,unknown,
Ugy5-aCAcZG_LS0_mMh4AaABAg,tolong diganti sty,ganti sty,coaching_staff,unknown,
UgzUL7RzSStAtwI-WS94AaABAg,gara pak erik,gara erik,pssi_management,unknown,
Ugyy74Dix5biVievy1d4AaABAg,towel perlu di nepalkan,towel nepalkan,pssi_management,unknown,
Ugzx3SBWPfL-tUMOORh4AaABAg,ganti pelatih,ganti latih,coaching_staff,unknown,
Ugy8-2cv1OFPqsSQVIJ4AaABAg,et blunder,et blunder,,unknown,
UgxKWmZXN09Vj7P5OxV4AaABAg,pk pecat lah,pk pecat,coaching_staff,unknown,
UgygZD2THRiWZutGJTx4AaABAg,patrick out,patrick out,coaching_staff,unknown,
Ugy-KGn7SyzM_WDck0h4AaABAg,patrick out,patrick out,coaching_staff,unknown,
Ugx_DQU_sJl8VM4u-a14AaABAg,saya sudah gak bisa berkata kata lagi,gak,,unknown,
UgxKZCfEM1feWMUP2QR4AaABAg,inti nya et harus bertanggung jawab,inti nya et tanggung,,unknown,
Ugy1s_FDDELS6hJw8pJ4AaABAg,saya setuju banget sama perkataan bung kus,tuju banget kata kus,,unknown,
Ugyye2KaRP-g-rvw1AB4AaABAg,info rapat exco nya dong,info rapat exco nya,,unknown,
Ugw_Go2GACJYJ2K6bQF4AaABAg,oo exco yang bikin masalah,oo exco bikin,,unknown,
UgwqvfGbNYJM_e8InTR4AaABAg,patrick out,patrick out,coaching_staff,unknown,
Ugx-K4SJsfQXgsATN214AaABAg,patrick out jauh jauh,patrick out,coaching_staff,unknown,
Ugx0T1Tn7o0aBZoW4gR4AaABAg,kau bilang masih ada piala aff piala asia asal kau tau tidak ada yang lebih penting dari piala dunia,kau bilang piala aff piala asia kau tau piala dunia,,unknown,
UgyFtSCQJ4w-re9R4kp4AaABAg,narasumbernya kelas tarkam,narasumber kelas tarkam,,unknown,
UgzNteACfEB4c1rcm5l4AaABAg,narasumber yang sangat positif,narasumber positif,,unknown,
Ugxo7o-l9KsalHm23r54AaABAg,kita turun ke jalan sudah waktunya kita tunjukan siapa kita,turun jalan tunjuk,,unknown,
UgyJx0zck2lgRIY7Rnp4AaABAg,pertahankan saja pasti lebih baik,tahan,,unknown,
Ugx166oq0dGJWWCLVWd4AaABAg,om nur alim tambah tua kok tambah ganteng ya ilang sangar nya dulu pas masih maen begitu sangarnya om nur alim the best om nur,om nur alim tua ganteng ilang sangar nya pas maen sangar om nur alim the best om nur,,unknown,
Ugy5ZO7M8FY3Dw20d1x4AaABAg,lebih di baik di pecat,pecat,,unknown,
Ugy9M1hQCpDL5IagGZ54AaABAg,yang bagus pastor,bagus pastor,,unknown,
UgzSgz0fwVJW9zH8iCx4AaABAg,klivert diusut saja mafia bola di bongkar saja,klivert usut mafia bola bongkar,pssi_management,unknown,
Ugz5CGcnf9GKX5rOT8d4AaABAg,demo dpr itu contoh yang terbaik,demo dpr contoh baik,,unknown,
UgwkDn-XZn01xOZKgKF4AaABAg,namanya saja mimpi mimpi itu belum terwujud bisajadi mimpi kita saat ini terwujudnya thn yang akan datang,nama mimpi mimpi wujud bisajadi mimpi wujud thn,,unknown,
Ugzp_6qb3NsMIOusenN4AaABAg,pk sudah tidak perlu dipertahankan,pk tahan,coaching_staff,unknown,
UgzVATqraKfUJDttgsl4AaABAg,pecat aj harus,pecat aj,,unknown,
UgwJiY3izdUPPn7d6Dt4AaABAg,terlalu tinggi mimpi nya akhirnya kena semua belum wktunya bos,mimpi nya kena wktunya bos,,unknown,
UgzpBLdbRQCqLOvykYd4AaABAg,lepel patrik sekelas indra safri,lepel patrik kelas indra safri,,unknown,
UgzzW4nGEjQsSX1511V4AaABAg,sekali sty tetap sty,sty sty,coaching_staff,unknown,
Ugy1Hkmfdw3iCummDUF4AaABAg,mourinho lagi nganggur tuh,mourinho nganggur tuh,,unknown,
Ugz4N0aKiynUvRL3a454AaABAg,apa yang kamu bicarakan nur alim,bicara nur alim,,unknown,
UgytdMiAOskW803oTPN4AaABAg,satu kata untuk petrik pecat,trik pecat,,unknown,
Ugw4foVbGxUMAya3nd94AaABAg,evaluasi kepelatihan,evaluasi latih,coaching_staff,unknown,
UgxYnVFO76u784iU8SR4AaABAg,omon omon aja,omon omon aja,,unknown,
UgxcoNj1hYjXMoudWj14AaABAg,pelati tuang judi kom dipakai,lat tuang judi kom pakai,,unknown,
Ugzl3jAL1JGphm2XEst4AaABAg,pret npa alasan wae,pret npa alas wae,,unknown,
UgyGU13B49xgVBln35d4AaABAg,piala dunia no,piala dunia no,,unknown,
Ugw7LgDMI1QK9jzJdel4AaABAg,nunggu makin ancur dulu baru bertindak,nunggu ancur tindak,,unknown,
UgwC7FWzLWP24tAAMcV4AaABAg,bukan patrik yang jadi sasaran tapi bos,patrik sasar bos,,unknown,
UgxxPlcSJlBbhgZc_iR4AaABAg,kontrak ny kn sampai piala asia santai aja,kontrak ny kn piala asia santai aja,,unknown,
UgwMo7ed9iQ99DqukZt4AaABAg,perseden tidur,den tidur,,unknown,
UgxfZ6sY7ZI8uGNgiWR4AaABAg,yang bertanggung jawab adalah pak tohir,tanggung tohir,pssi_management,unknown,
UgxgL57Gd6LoJrKPWDF4AaABAg,dalam hatinya lumayan cair,hati lumayan cair,,unknown,
UgwFqse6MflzakQziH14AaABAg,tinggal nerusin perjuangaan sintayyong doang ga bisa,tinggal nerusin perjuangaan sintayyong doang ga,,unknown,
UgyLWUZsEVzJ06BauP94AaABAg,tq patrick,tq patrick,coaching_staff,unknown,
Ugz1p6kat8NRoEgK8bd4AaABAg,muka senang cair,muka senang cair,,unknown,
UgypgCa4-i66rvQkQWV4AaABAg,asik asik pokoknya,asik asik pokok,,unknown,
UgxmsFN3cF78G0RlqNB4AaABAg,terimakasih garuda,terimakasih garuda,patriotic_sadness,unknown,
UgzDT0TIv1lPFfIgjbF4AaABAg,pelatih jenius,latih jenius,coaching_staff,unknown,
UgwmN2xpxp9QKTDurkl4AaABAg,pet ngaca napaa,pet ngaca napaa,,unknown,
UgwhnVssrTBvMf9eWIJ4AaABAg,mari berburu ubur ubur pat,buru ubur ubur pat,,unknown,
UgwVzMgz67MYxAANLOd4AaABAg,pelatih paling jenius,latih jenius,coaching_staff,unknown,
Ugz3jztsiffIBxtVzz14AaABAg,halah gw tau dia udah cair banyak atas judinya,halah gw tau udah cair judi,,unknown,
UgwpQHiOEN5MSEn6ozl4AaABAg,ya beginilah klo udh mampu bisa terbang tau tau ada yang mematahkan sayapnya,klo udh terbang tau tau patah sayap,,unknown,
UgwodIpds7l9BhJkZvZ4AaABAg,mending nanti piala asia suruh dipegang pastoor aja sementara,mending piala asia suruh pegang pastoor aja,,unknown,
Ugwg-lHMctoO522tzFJ4AaABAg,mundur luh nonton bola ga ada menghiburnya monoton triknya,mundur luh nonton bola ga hibur monoton trik,,unknown,
UgyhmYf2A9s77Z0xNWV4AaABAg,mainnya sudah bagus,main bagus,technical_performance,unknown,
UgxsZZ9R5HmzG4Y7Z5d4AaABAg,good by wc welcome wc,good by wc welcome wc,,unknown,
Ugz9wnFUYc7XKW5a7Gl4AaABAg,ciee cair tuu,ciee cair tuu,,unknown,
Ugyf2hs6hZSoDvZP6bl4AaABAg,pecat petrick,pecat petrick,,unknown,
Ugy3mtVQkNyMILJBz6Z4AaABAg,drama yang sempurna,drama sempurna,,unknown,
Ugw6jwrDdHe98nApWIp4AaABAg,paling enak sepak bola di buat bisnis kyak e,enak sepak bola bisnis kyak e,,unknown,
UgweNnhMbH6ij5_bIgt4AaABAg,kan gara elu bintang lauttr,gara elu bintang lauttr,,unknown,
UgwM8u3T6U8RQVN3ydV4AaABAg,youre done,youre done,,unknown,
UgwdGUJQ72EdxNMH2HZ4AaABAg,cairr cair,cairr cair,,unknown,
Ugx4yYUvMFeZBIsE0dZ4AaABAg,cair,cair,,unknown,
UgzxEJavUIR3BtzQMTx4AaABAg,x bertanding baju petrick selalu pakai warna hitam hitam adalah warna duka cita,x tanding baju petrick pakai warna hitam hitam warna duka cita,,unknown,
UgyrVbQxS_EjjmBZsvZ4AaABAg,paling di belakang ketawa orang ini,ketawa orang,,unknown,
UgzKt9ThlA6baRq9PL94AaABAg,cair cairr,cair cairr,,unknown,
Ugym3h6b5mt4Gj6gAYt4AaABAg,yakin saya ipelatih ini matanya biru,ipelatih mata biru,,unknown,
UgwTh6NZwUotkWD1YE14AaABAg,jalan satu satunya afc di rombak,jalan satu afc rombak,,unknown,
UgyqJMblh07lpWIws_94AaABAg,pecat kluivert,pecat kluivert,coaching_staff,unknown,
UgzO14jEYG3tWbFvBdh4AaABAg,he lies actually he is happy about the result of the match,he lies actually he is happy about the result of the match,,unknown,
UgydpcEaWF-qs4fVp6B4AaABAg,mari tetap optimis,optimis,future_hope,unknown,
UgzvJpGn2--QSLGTYFB4AaABAg,saya sudah ikhlas,ikhlas,,unknown,
UgxAJKj9I-rSVVvITvZ4AaABAg,misi mustahil lupakan piala dunia fokus piala asia,misi mustahil lupa piala dunia fokus piala asia,,unknown,
Ugz3pasNIBH6dR7GBmB4AaABAg,suram,suram,,unknown,
UgwXdsoMnTSSI_uzdWR4AaABAg,bismillah ya allah berikan mijizatmu untuk tinmas,bismillah allah mijizatmu tinmas,,unknown,
Ugy49FX-IMKBx10c5Ut4AaABAg,video kemaren bilangnya juga gini next videonya masih ada piala dunia ketebak min,video kemaren bilang gin next video piala dunia tebak min,,unknown,
UgyJV_q67VO5Sl4190Z4AaABAg,halah kebanyakan cerita doang dibantai sama irak seperti pertemuan sebelumnya juga ikhlas banget,halah banyak cerita doang bantai irak temu ikhlas banget,,unknown,
UgxiejmM7BrQRRfrDw94AaABAg,game is over irak tak semudah itu kawan,game is over irak mudah kawan,,unknown,
UgyRF07dJoMllO4X92B4AaABAg,starting eleven bikin skenario muluk ujung nya malah kebantai,starting eleven bikin skenario muluk ujung nya bantai,,unknown,
UgyF-sJ5-FuwmjxWc8V4AaABAg,mari sama sama kita menghayal,menghayal,,unknown,
UgwnE47ws7NvVmJCWI54AaABAg,udahlah jngan ngarep semua sudah diatur,udahlah jngan ngarep atur,,unknown,
Ugw7Yn7fI_xfIPcnpUl4AaABAg,mau diapapun juga tetap berat bosque,apa berat bosque,,unknown,
UgyOdsDN2pSs9rbnz8R4AaABAg,iya bang pintu masih terbuka lebar untuk pulang,iya bang pintu buka lebar pulang,,unknown,
UgxBARcqe_EEJCt3a_l4AaABAg,kembalikan pak sty,kembali sty,coaching_staff,unknown,
UgxEWYeXhEfS4NDlx4p4AaABAg,mari bermimpi semangat,mimpi semangat,positive_support,unknown,
UgzbI7nzFnxqgC29lhJ4AaABAg,seandainya dan jika huf,anda huf,,unknown,
UgwYJQgppyTGoaAkaF14AaABAg,admin sedang menghibur diri,admin hibur,,unknown,
